#
#  ypes214092cyc 21.5 Reactions link table generated on Wed Oct 25, 2017
#
RXN0-5021	EC-2.7.7
RXN0-2921	EC-6.3.2.17
RXN-8999	EC-2.5.1.31
RXN-12508	
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
RXN-14223	EC-2.7.1.15
RXN-9657	EC-1.3.1.9
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
RXN1G-3641	EC-2.1.1.79
RXN-14281	EC-3.2.1.20
RXN-0	EC-2.3.1.57
RXN-14285	EC-2.4.1.1
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
HISTIDINE-AMMONIA-LYASE-RXN	EC-4.3.1.3
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
RXN-7101	
FORMATEDEHYDROG-RXN	EC-1.1.5.6
GLUTDECARBOX-RXN	EC-4.1.1.15
3.4.11.4-RXN	EC-3.4.11.4
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.86
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
PALMITOYL-COA-HYDROLASE-RXN	EC-3.1.2.2
RXN-14500	
ALPHA-AMYL-RXN	EC-3.2.1.1
LACTALDDEHYDROG-RXN	EC-1.2.1.22
RXN-15175	EC-2.7.1.69
2.7.7.8-RXN	EC-2.7.7.8
RXN-14971	EC-1.3.5.1
RXN-11923	
RXN-10656	EC-4.2.1.59
RXN0-1342	EC-2.4.99.17
ABC-18-RXN	EC-3.6.3.17
RXN66-541	
PHOSPHOLIPASE-A1-RXN	EC-3.1.1.32
YIAE1-RXN	EC-1.1.1
RXN0-2361	EC-6.3.2
5.5.1.2-RXN	EC-5.5.1.2
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
PYRUFLAVREDUCT-RXN	EC-1.2.7.1
3.4.11.2-RXN	EC-3.4.11.2
ADENYL-KIN-RXN	EC-2.7.4.3
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
2.3.1.180-RXN	EC-2.3.1.180
RXN1G-240	EC-1.1.1.100
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
7KAPSYN-RXN	EC-2.3.1.47
RXN-15161	EC-2.7.1.69
SUCROSE-PHOSPHATE-SYNTHASE-RXN	EC-2.4.1.14
RXN-10773	EC-3.2.1.21
3.2.1.23-RXN	EC-3.2.1.23
RXN-14471	
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EC-2.1.1.35
PALMITOTRANS-RXN	EC-2.3.1
3.6.3.36-RXN	EC-3.6.3.36
LINOLENOYL-RXN	EC-6.2.1.3
RXN1G-358	EC-1.1.1.100
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	EC-4.1.2.52
RXN0-383	EC-3.6.1.65
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
R311-RXN	EC-3.5.1.4
3-OXOADIPATE-ENOL-LACTONASE-RXN	EC-3.1.1.24
RXN-7567	EC-4.2.1.84
RXN-13403	EC-2.1.1.107
RXN0-882	EC-1.17.7.1
RXN0-5293	EC-1.2.1.16
PYROGLUTAMYL-PEPTIDASE-I-RXN	EC-3.4.19.3
RXN0-5101	EC-1.3.1
RXN-15087	EC-2.7.1.69
PROTEIN-KINASE-RXN	EC-2.7.11.1
RXN-14396	
RXN1G-368	EC-2.3.1.41
CARBPSYN-RXN	EC-6.3.5.5
RXN-11347	EC-2.7.8.13
RXN0-1081	EC-3.5.4
RXN-15145	EC-2.7.1.69
RXN-15065	EC-3.1.1.4
RXN-12193	EC-2.4.1.25
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN-9545	EC-4.2.1
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
MANNPDEHYDROG-RXN	EC-1.1.1.17
RXN-11351	EC-3.4.16.4
GSHTRAN-RXN	EC-2.5.1.18
RXN-11496	EC-1.2.5.1
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-982	EC-1.20.4.1
RXN0-6274	EC-2.5.1.75
RXN-7700	EC-1.1.1.1
RXN-12430	EC-3.1.1.32
RXN1G-637	EC-1.1.1.100
2.1.1.77-RXN	EC-2.1.1.77
RXN-14548	
RXN0-6705	EC-2.3.1.51
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
RXN66-521	EC-2.7.1.2	EC-2.7.1.1
RXN-9787	EC-2.8.1.7
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
RXN-9556	EC-1.1.1.100
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
ASNSYNB-RXN	EC-6.3.5.4
SUCROSE-PHOSPHATASE-RXN	EC-3.1.3.24
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN0-1863	EC-2.6.1.87
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-14290	
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
RXN0-5223	
RXN-15095	EC-2.7.1.69
RXN0-947	EC-2.3.1.181
ABC-33-RXN	EC-3.6.3.17
5-NUCLEOTID-RXN	EC-3.1.3.5
RHAMNISOM-RXN	EC-5.3.1.14
RXN-15006	EC-1.2.1.38
CDPDIGLYPYPHOSPHA-RXN	EC-3.6.1.26
4.2.99.18-RXN	EC-4.2.99.18
RXN0-302	EC-4.6.1.12
RXN-14270	EC-2.4.2.7
RXN0-724	EC-1.17.4.2
MANNPGUANYLTRANGDP-RXN	EC-2.7.7.22
RXN-10704	EC-4.2.1.17
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.9
1.5.1.20-RXN	EC-1.5.1.20
NADH-DEHYDROGENASE-QUINONE-RXN	EC-1.6.99.5
RXN0-4401	EC-3.6.1.9
GLYMALTOPHOSPHORYL-RXN	EC-2.4.1.1
RXN0-4261	
RXN0-5038	EC-3.1.4.53
RXN0-279	EC-3.13.1
SUCCGLUDESUCC-RXN	EC-3.5.1.96
GLY3KIN-RXN	EC-2.7.1.31
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN-9652	EC-2.3.1.86
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
RXN1A0-6307	EC-3.1.2
RXN-14056	
RXN-9523	EC-2.3.1.41
RXN0-5123	EC-2.7.1
RXN-5341	EC-3.2.1.21
3.1.11.6-RXN	EC-3.1.11.6
RXN0-5245	
RXN-9550	EC-3.1.2.14
RXN0-2145	EC-1.3.1.9
RXN-13418	EC-1.14.14.5
RXN-14799	EC-2.3.1.16
GLUCUROISOM-RXN	EC-5.3.1.12
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN0-6375	
RXN-11743	EC-2.4.2.1
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
RXN-14175	EC-6.3.2.1
RXN-14803	EC-2.3.1.16
RXN0-6994	EC-3.2.1.86
RXN-14394	EC-2.3.1.16
RXN-14115	EC-3.1.3.6
RXN-10994	
METHGLYSYN-RXN	EC-4.2.3.3
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN-10781	EC-1.1.1.1
GLUCONOLACT-RXN	EC-3.1.1.17
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	EC-4.1.1.68
RXN0-5253	
ASNSYNA-RXN	EC-6.3.1.1
RXN1G-499	EC-2.3.1.41
RXN66-3	EC-1.2.1.3
TRANS-RXN0-234	
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
RXN-10642	EC-4.1.1.37
HOMOSERKIN-RXN	EC-2.7.1.39
RXN-13329	
RXN-13158	EC-1.1.1.85
1.14.13.59-RXN	EC-1.14.13.59
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
R222-RXN	EC-1.2.1.3
RXN-13572	
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
HOMOCYSMET-RXN	EC-2.1.1.14
LACTOSE-DEHYDRO-RXN	EC-1.1.99.13
TDCEACT-RXN	EC-1.97.1.4
RXN1G-2544	EC-2.1.1.79
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
CDPREDUCT-RXN	EC-1.17.4.1
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-15068	EC-3.1.1.4
ADCLY-RXN	EC-4.1.3.38
RXN-14189	EC-1.11.1.6
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
NANE-RXN	EC-5.1.3.9
RXN0-7021	EC-1.1.1
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	EC-3.5.1.53
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
OXALODECARB-RXN	EC-1.1.1.38	EC-4.1.1.3
RXN-10024	EC-2.3.1.184
AMPSYN-RXN	EC-4.3.2.2
3.1.26.3-RXN	EC-3.1.26.3
PSERTRANSAM-RXN	EC-2.6.1.52
RXN-13720	EC-5.3.1.9
DIACYLGLYKIN-RXN	EC-2.7.1.107
RXN-12691	EC-1.14.13.142
RXN-9229	EC-2.1.1.64
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
RXN0-2584	EC-3.2.2.27
RXN1G-163	EC-1.1.1.100
RXN-12754	
2PGADEHYDRAT-RXN	EC-4.2.1.11
RXN-13202	EC-6.3.5.5
RXN-13039	EC-2.7.7.63
RXN-9624	EC-3.1.2.2
RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.22
RXN-22	EC-4.3.2.1
MALEYLACETOACETATE-ISOMERASE-RXN	EC-5.2.1.2
RXN-10700	EC-2.3.1.16
RXN-14963	EC-1.3.5.4
RXN0-5061	EC-2
RXN1G-349	EC-1.1.1.100
AKBLIG-RXN	EC-2.3.1.29
ARGDECARBOX-RXN	EC-4.1.1.19
DAHPSYN-RXN	EC-2.5.1.54
RXN-14276	EC-4.2.1.17
RXN-7693	EC-1.1.1.1
3.1.27.5-RXN	EC-3.1.27.5
2.5.1.64-RXN	EC-2.2.1.9
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN0-5182	EC-2.4.1.1
RXN0-6734	EC-4.7.1.1
RXN-12710	EC-2.3.1.16
1.1.1.178-RXN	EC-1.1.1.178
AMIDASE-RXN	EC-3.5.1.4
RXN-14389	
RXN0-5265	
RXN-15085	EC-2.7.1.69
SPERMACTRAN-RXN	EC-2.3.1.57
RXN-12714	EC-1.3.99.4
ASPARTASE-RXN	EC-4.3.1.1
CHER-RXN	EC-2.1.1.80
1.13.11.15-RXN	EC-1.13.11.15
RXN-12753	
3-ISOPROPYLMALDEHYDROG-RXN	
RXN-15184	EC-2.7.1.69
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
SUCCCOASYN-RXN	EC-6.2.1.5
RXN1G-236	EC-2.3.1.41
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
RXN-8748	EC-3.1.3.1
RXN-9658	EC-1.3.1.9
KETOGAL-DEHYDROXY-RXN	EC-1.1.1
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
TRANS-RXN-169	EC-2.7.1.69
RXN-14275	EC-1.1.1.35
TRE6PHYDRO-RXN	EC-3.2.1.93
RXN1G-613	EC-1.1.1.100
GLUTAMATESYN-RXN	EC-1.4.1.13
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
UDPMANACATRANS-RXN	EC-2.4.1.180
3.1.21.2-RXN	EC-3.1.21.2
RXN-12715	
TRANS-RXN-2	EC-3.6.3.12
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
RXN-10654	EC-2.3.1.41
5.1.2.3-RXN	EC-5.1.2.3
RXN-12541	
THIOREDOXIN-RXN	
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
RXN-14903	EC-1.5.5.2
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
RXN0-5063	EC-2.8.4.3
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
RXN0-5186	EC-3.1.3
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
2.1.1.113-RXN	EC-2.1.1.113
GALACTUROISOM-RXN	EC-5.3.1.12
SARCOX-RXN	EC-1.5.3.1
HAONITRO-RXN	EC-1.7.2.6
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN-11942	
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
RXN0-5116	EC-2.7.1.16
RXN-14090	EC-3.1.3.6
PYRIMSYN3-RXN	EC-2.7.4.7
RXN0-5405	EC-2.4.1.129
RXN-15156	EC-2.7.1.69
RXNQT-4366	EC-3.1.1.1
THIOESTER-RXN	EC-3.1.2.2
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
RXN-10697	EC-4.2.1.17
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
KDUD-RXN	EC-1.1.1.125
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.80
RXN-12634	EC-2.7.1.69
RXN-12717	EC-1.14.14.12
3.1.4.11-RXN	EC-3.1.4.11
3.2.1.33-RXN	EC-3.2.1.33
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	EC-3.5.1.68
THRESYN-RXN	EC-4.2.3.1
RXN-12539	
RXN-7800	
RXN-9551	EC-3.1.2.14
RXN-11479	EC-2.3.1.41
FESO3OXI-RXN	
RXN0-5124	EC-2.4.1.44
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
2-OXOGLUTARATE-SYNTHASE-RXN	EC-1.2.7.3
RXN-11715	EC-2.4.2.1
RXN-15157	EC-2.7.1.69
RXN0-384	EC-3.6.1.19
ISOCITDEH-RXN	EC-1.1.1.42
MYRISTOYLACYLTRAN-RXN	EC-2.3.1
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
UROPORIIIMETHYLTRANSA-RXN	
RXN0-6427	EC-3.1.7.2
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-13032	EC-2.3.1.200
1.13.11.25-RXN	EC-1.13.11.25
PYRROLINECARBDEHYDROG-RXN	
PROTOPORGENOXI-RXN	EC-1.3.3.4
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
RXN0-4022	EC-1.7.1.13
PDXJ-RXN	EC-2.6.99.2
RXN0-17	EC-2.7.1.69
RXN0-3281	EC-1.1.99.33
RXN-11811	
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
DHHB-METHYLTRANSFER-RXN	EC-2.1.1.64
RXN0-6484	EC-3.1.13.5
TRANS-RXN-167A	EC-2.7.1.69
RXN-14727	EC-3.5.1.4
MYRPALMTRAN-RXN	EC-2.3.1
PYRIDOXKIN-RXN	EC-2.7.1.35
DTDPKIN-RXN	EC-2.7.4.6
RXN-14227	EC-3.1.3.5
RXN-11302	EC-3.4.16.4
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN0-5204	EC-3.4.11.23
RXN-8340	EC-4.1.99.18
FUMHYDR-RXN	EC-4.2.1.2
RXN-7904	EC-6.2.1.3
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
RXNQT-4191	EC-3.1.3.2
3.1.2.14-RXN	EC-3.1.2.14
RFFTRANS-RXN	EC-2.6.1.59
RXN0-313	EC-4.1.2
RXN0-5514	EC-2.3.1.51
F16ALDOLASE-RXN	EC-4.1.2.13
2KETO-3METHYLVALERATE-RXN	EC-1.2.1
RXN-12718	EC-3.7.1.17
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
ASPARAGHYD-RXN	EC-3.5.1.38	EC-3.5.1.1
NAG6PDEACET-RXN	EC-3.5.1.25
MCPMETEST-RXN	EC-3.1.1.61
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
RXN-11410	
RXN0-5422	EC-2.4.1
RXN-14140	EC-3.6.1.19
RIBOKIN-RXN	EC-2.7.1.15
GALACTOKIN-RXN	EC-2.7.1.6
MANNONOXIDOREDUCT-RXN	EC-1.1.1.57
CARBAMATE-KINASE-RXN	EC-2.7.2.2
RXN0-2301	EC-1.3.8.4
RXN-7657	EC-1.1.1.1
2.1.1.79-RXN	EC-2.1.1.79
UDPMANNACADEHYDROG-RXN	EC-1.1.1.336
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
DIAMACTRANS-RXN	EC-2.3.1.57
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN-12458	EC-2.1.1.228
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-12735	EC-4.1.3.43
PGPPHOSPHA-RXN	EC-3.1.3.27
1.6.99.5-RXN	EC-1.6.99.5
THIAMIN-PYROPHOSPHOKINASE-RXN	EC-2.7.6.2
RXN1G-262	EC-1.1.1.100
RXN0-20	
AICARSYN-RXN	EC-4.3.2.2
3.4.21.83-RXN	EC-3.4.21.83
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
2OXOGLUTDECARB-RXN	EC-1.2.4.2
DARAB5PISOM-RXN	EC-5.3.1.13
RXN-11409	
RXN-14729	EC-2.7.1.69
RXN0-4301	EC-5.3.1.28
RXN0-6483	EC-3.1.13.5
RXN0-746	EC-1.17.4.2
RXN0-2144	EC-4.2.1.59
ALTRO-OXIDOREDUCT-RXN	EC-1.1.1.58
HYDROXYLAMINE-REDUCTASE-RXN	EC-1.7.99.1
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN-12088	EC-3.2.1.22
NMNAMIDOHYDRO-RXN	EC-3.5.1.42
RXN-14014	EC-1.17.1.8
RXNN-404	EC-3.5.1.4
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN	EC-4.1.2.2
RXN-7774	EC-4.1.1.71
RXN-14197	EC-3.5.4.1
RXN-12734	EC-4.2.1.132
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
RXN1G-481	EC-1.1.1.100
RXN-1828	EC-2.4.1.25
GLU6PDEHYDROG-RXN	EC-1.1.1.49
RXN0-6370	
RXN-14386	EC-2.8.1.7
RXN-11046	EC-2.1.1.163
ADENODEAMIN-RXN	EC-3.5.4.4
RXN-12720	EC-2.7.7.4
RXN-10851	
RXN-9650	EC-2.3.1.86
RXN-9554	EC-1.3.1
RXN-14261	EC-2.4.1.25
1.10.2.2-RXN	EC-1.10.2.2
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
GLYOXII-RXN	EC-3.1.2.6
RXN0-7005	
RXN-7609	EC-3.1.3.5
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22
ALKAPHOSPHA-RXN	EC-3.1.3.1
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
RXN-13008	EC-2.3.1.86
BADH-RXN	EC-1.2.1.8
RHAMNULOKIN-RXN	EC-2.7.1.5
RXN-11667	EC-4.2.1.150
1.8.4.8-RXN	EC-1.8.4.8
RXN-11246	EC-2.3.1.16
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
RXN-12746	EC-6.2.1.41
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
RXN-14228	EC-2.7.4.6
RXN-13031	EC-3.5.1
RXN-15155	EC-2.7.1.69
RXN1G-1050	EC-1.1.1.100
CYTIDEAM2-RXN	EC-3.5.4.5
FMNREDUCT-RXN	EC-1.5.1.39
RXN-2802	
3.2.2.23-RXN	EC-3.2.2.23
RXN0-5515	EC-2.7.7.41
RXN0-1862	EC-2.1.2.13
PGLUCISOM-RXN	EC-5.3.1.9
RXN-10699	EC-2.3.1.16
RXN-12460	EC-3.1.1.29
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	EC-2.1.1.11
RXN-10779	
3.6.1.41-RXN	EC-3.6.1.41
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
RXN-12726	EC-2.5.1.47
RXN0-366	EC-3.2.2.1
ASPDECARBOX-RXN	EC-4.1.1.11
UROCANATE-HYDRATASE-RXN	EC-4.2.1.49
PHOSMANMUT-RXN	EC-5.4.2.8
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-14962	
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
FPPSYN-RXN	EC-2.5.1.10
PROPCOASYN-RXN	EC-1.3.8
3-NUCLEOTID-RXN	EC-3.1.3.6
RXN-14793	EC-2.3.1.16
RXN-1623	EC-2.3.1.51
RXN-12104	
2TRANSKETO-RXN	EC-2.2.1.1
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
METHYLVALERATE-RXN	EC-1.2.4.4
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
3.5.1.80-RXN	EC-3.5.1.25
RXN-9939	EC-2.3.1.57
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN-14390	
2.3.1.128-RXN	EC-2.3.1.128
RXN-14794	EC-4.2.1.119
RXN1G-1003	EC-2.3.1.41
RXN-15096	EC-2.7.1.69
ALARACECAT-RXN	EC-5.1.1.1
MALSYN-RXN	EC-2.3.3.9
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
TRANSALDOL-RXN	EC-2.2.1.2
RXN-10639	
GLURS-RXN	EC-6.1.1.17
RXN-14778	EC-4.2.1.119
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	EC-1.1.99.6
RXN-9659	EC-1.3.1.9
2.1.1.72-RXN	EC-2.1.1.72
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN-12750	EC-1.1.1.35
ADDALT-RXN	EC-3.5.4.4
R621-RXN	EC-1.14.12.17
SUCCORNTRANSAM-RXN	EC-2.6.1.81
RXN0-5398	EC-4.2.1.70
RXN-12588	EC-2.8.1.7
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
RXN-12747	EC-1.1.1.145
RXN-15067	EC-3.1.1.4
ADPREDUCT-RXN	EC-1.17.4.1
5.99.1.3-RXN	EC-5.99.1.3
RXN-11839	EC-5.4.99.25
RXN0-5144	EC-2.1.1.61
2.3.1.41-RXN	EC-2.3.1.41
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
3.6.3.12-RXN	EC-3.6.3.12
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.57	EC-2.6.1.5
RXN1F-72	EC-1.3.1.75
RXN-10016	
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
IGPSYN-RXN	EC-4.1.1.48
RXN-14774	EC-2.3.1.16
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
HYDROXYLAMINE-REDUCTASE-NADH-RXN	EC-1.7.1.10
PYRAMKIN-RXN	EC-2.7.1.35
RXN66-480	EC-6.2.1.3
3.6.3.17-RXN	EC-3.6.3.17
3.5.1.88-RXN	EC-3.5.1.88
RXN66-478	EC-1.1.1.1
1.1.1.215-RXN	EC-1.1.1.215
ISOCHORSYN-RXN	EC-5.4.4.2
GPH-RXN	EC-3.1.3.18
RXN-12748	EC-1.3.99
RXN-12575	EC-3.1.1.1
RXN-10708	EC-3.1.2.20
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
FORMIMINOGLUTAMATE-DEIMINASE-RXN	EC-3.5.3.13
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
